403613755428192256	@cityofdenver, been driving/sliding all around town today. Great job with the #de-icer, #sarcasm
408003719716802561	This. This is the news that matters: http://t.co/94dMdzIFjY #sarcasm
420570634557865984	@empressivegeek LOL, you guys are lawyers right? No loss. #Sarcasm or #IsIt?
404975928310112257	The start of another super busy week. So pumped. #Sarcasm
412444921782480896	Thanks for texting me back 6 hours ago Jesse. #sarcasm
420561060840894464	I&#39;m gonna start knitting again.. Because it&#39;s not like I have anything else to do.. #sarcasm
410615963445239808	@MikeHenriksen @RyanDeal_AAN maybe someone should turn the Sully Buttes coach in for bullying. #sarcasm
420769897795182592	didnt realize #NBA referees were so fluent in russian! #sarcasm #??????399671085957779456	My favorite commercial is on: Indoor Swapmeet of Stanton.&#10;&#10;Talk about a well done commercial. #Sarcasm
405536153152925696	Well hello depression, nice to see ya again.. didn&#39;t think you&#39;d stay away much longer.. :(&#10;#sarcasm
408719797887565824	According to @twitter everyone knows Nelson Mandela has passed. Waiting for #espnbreakingnews to report this tomorrow #sarcasm
411924918561804288	You gotta love it when exes stay connected to YOUR friends on social media after the relationship is over...on all levels. #sarcasm
419926923792633856	@WLKY think you can make the school closing crawl any bigger? #sarcasm
410160794304012289	&quot;@AsaWinstanley: Breaking: revolutionary Tweeters discover entirely convincing evidence Sy Hersh is secretly on the Assad payroll. #sarcasm&quot;
406139736026537984	nothing beats coming home to an empty house and no food ?? #sarcasm #feedme
413496465076416512	Don&#39;t you just love the hip hop music and club music they played in the background of the #mandela movie? I do #sarcasm #stupid
411314539070636032	You didn&#39;t build that. The government did. #sarcasm #government http://t.co/ZA21ooaCL9
410169763835310080	@LetsSetTheWorld I wish life was as perfect as that class. #Sarcasm
420276707073880064	I feel special... I live in the coldest place in the world today ! #sarcasm
409443067297808384	@abpriddy &#10;None of that matters anymore since the B12 got the big tv contract! #sarcasm
415508742374195200	Never woulda guessed the high school roof fell off...no wayy #sarcasm
410509967095906304	.@Hngring4Truth I guess the saying is once you go Gay u r always Gay #sarcasm @Wooflepup @thai_bill
410832584906510338	Former WTAE sports anchor John Meyer says Saban to Texas is a &quot;done deal&quot; #Sarcasm
399164360527839233	@CrazyDiabloO @walix85 how unselfish of you! You are one of the few good people. #SARCASM
412215132996243457	@MorganSLShaw And guess who&#39;s paying for it all! Yup, that&#39;s right, Mr and Mrs Taxpayer, you and me! Wahey! #sarcasm
413692854704566272	I just at some people and thing you perfect right? #sarcasm
413466541838303232	Thank you turning signal for dying right in front if a state trooper. #sarcasm #whatanawesomenight
416671847728414720	@YGTori I love you so much tori! Honestly i hope we find something together in the future because i always loved you. #Sarcasm Happy?
403228032401702912	@darryllaw @GayleOBrien @bradfromdave @TommyGuns Dont know how ya can do it daily. Must be tough getting outta bed #sarcasm
409126178318872576	@EmilyStanislav why not? things like this never happen to me! #sarcasm
403635872047718400	@jowens510 Come on man, why do you have to hate on a local company like that? #sarcasm #hopehegetsthejoke #needmorecoffee
405314395829719040	Oh, It&#39;s snowing? It&#39;s fine, I&#39;m super prepared for this. #sarcasm
400275021551403008	@dalibologna @Liberty_2112 obviously the libertarian party has it right and would never nominate a bad candidate tho...#sarcasm
414293352368963585	Tweeps are so cool man. All highly intellectual thoughts regarding politics and stuff but will never participate in elections ! #sarcasm
404581833636970496	S/O to the milkman who was late picking up the milk again. You go guy. #sarcasm
411837742692466688	Just waiting for the auld its traditional footballing weather shout getting produced !!! Killie v dundee utd  should be fun #sarcasm
